Brentwood Elementary,Cumberland County Schools,552,Cumberland,Fayetteville,28304,822,13.4,45.1,1115 Bingham Drive,NC
C Wayne Collier Elementary,Cumberland County Schools,521,Cumberland,Hope Mills,28348,736,16.2,50.2,3522 Sturbridge Drive,NC
Cliffdale Elementary,Cumberland County Schools,656,Cumberland,Fayetteville,28304,1095,14.2,28,6450 Cliffdale Road,NC
College Lakes Elementary,Cumberland County Schools,429,Cumberland,Fayetteville,28311,377,13,71.4,4963 Rosehill Road,NC
Cumberland Mills Elementary,Cumberland County Schools,642,Cumberland,Fayetteville,28306,696,15.6,52.8,2576 Hope Mills Road,NC
Cumberland Road Elementary,Cumberland County Schools,423,Cumberland,Fayetteville,28306,809,13.2,46.2,2700 Cumberland Road,NC
District No 7 Elementary,Cumberland County Schools,253,Cumberland,Wade,28395,294,14,76.3,5721 Smithfield Road,NC
E E Miller Elementary,Cumberland County Schools,572,Cumberland,Fayetteville,28314,440,15,67.7,1361 Rim Road,NC
E Melvin Honeycutt Elementary,Cumberland County Schools,829,Cumberland,Fayetteville,28306,243,17.6,78.6,4665 Lakewood Drive,NC
Eastover-Central Elementary,Cumberland County Schools,423,Cumberland,Eastover,28312,70,13.6,91.8,5174 Dunn Road,NC
Educational V Baldwin Elementary,Cumberland County Schools,646,Cumberland,Hope Mills,28348,1115,15.7,26.6,4441 Legion Road,NC
Elizabeth M Cashwell Elementary,Cumberland County Schools,747,Cumberland,Fayetteville,28306,960,16.6,36.8,2970 Legion Road,NC
Ferguson-Easley Elementary,Cumberland County Schools,303,Cumberland,Fayetteville,28301,1370,11.6,5.5,1857 Seabrook Road,NC
Gallberry Farm Elementary,Cumberland County Schools,921,Cumberland,Hope Mills,28348,503,16.7,64.1,8019 Byerly Drive,NC
Glendale Acres Elementary,Cumberland County Schools,237,Cumberland,Fayetteville,28304,N/A,12.4,N/A,2915 Skycrest Drive,NC
Grays Creek Elementary,Cumberland County Schools,432,Cumberland,Hope Mills,28348,483,13.9,65.4,2964 School Rd,NC
Howard L Hall Elementary,Cumberland County Schools,628,Cumberland,Fayetteville,28311,399,15.7,70,526 Andrews Road,NC
J W Coon Elementary,Cumberland County Schools,214,Cumberland,Fayetteville,28304,1028,11.2,32.6,905 Hope Mills Road,NC
J W Seabrook Elementary,Cumberland County Schools,274,Cumberland,Fayetteville,28301,289,12.4,76.6,4619 Nc Hwy 210 South,NC
Lake Rim Elementary,Cumberland County Schools,683,Cumberland,Fayetteville,28314,739,17,50,1455 Hoke Loop Road,NC
Lillian Black Elementary,Cumberland County Schools,224,Cumberland,Spring Lake,28390,886,11.7,41.6,125 S 3rd Street,NC
Long Hill Elementary,Cumberland County Schools,458,Cumberland,Fayetteville,28311,203,16.3,81,6490 Ramsey Street,NC
Loyd E Auman Elementary,Cumberland County Schools,543,Cumberland,Fayetteville,28304,924,13.5,38.7,6882 Raeford Road,NC
Lucile Souders Elementary,Cumberland County Schools,480,Cumberland,Fayetteville,28301,932,17.7,38.3,128 Hillview Avenue,NC
Manchester Elementary,Cumberland County Schools,374,Cumberland,Spring Lake,28390,1282,14.9,12.7,611 Spring Avenue,NC
Margaret Willis Elementary,Cumberland County Schools,342,Cumberland,Fayetteville,28305,916,13.1,39.1,1412 Belvedere Avenue,NC
Mary McArthur Elementary,Cumberland County Schools,458,Cumberland,Fayetteville,28304,1050,13.8,30.8,3809 Village Drive,NC
Montclair Elementary,Cumberland County Schools,471,Cumberland,Fayetteville,28314,1111,14.2,27,555 Glensford Drive,NC
Morganton Road Elementary,Cumberland County Schools,500,Cumberland,Fayetteville,28303,1069,16.1,29.9,102 Bonanza Drive,NC
New Century International Elementary,Cumberland County Schools,747,Cumberland,Fayetteville,28306,532,15.2,62,7465 Century Circle,NC
Ponderosa Elementary,Cumberland County Schools,368,Cumberland,Fayetteville,28303,697,13.1,52.8,311 Bonanza Drive,NC
Raleigh Road Elementary,Cumberland County Schools,217,Cumberland,Linden,28356,N/A,15.5,N/A,8330 Ramsey Street,NC
Rockfish Elementary,Cumberland County Schools,692,Cumberland,Hope Mills,28348,292,17.3,76.4,5763 Rockfish Road,NC
Sherwood Park Elementary,Cumberland County Schools,393,Cumberland,Fayetteville,28304,974,14.5,35.9,2115 Hope Mills Road,NC
Stedman Elementary,Cumberland County Schools,303,Cumberland,Stedman,28391,335,12.6,74.1,7370 Clinton Road Hwy 24,NC
Stedman Primary,Cumberland County Schools,167,Cumberland,Stedman,28391,N/A,13.9,N/A,155 E First Street,NC
Stoney Point Elementary,Cumberland County Schools,850,Cumberland,Fayetteville,28306,143,18.4,85.2,7411 Rockfish Road,NC
Sunnyside Elementary,Cumberland County Schools,372,Cumberland,Fayetteville,28312,1012,15.5,33.7,3876 Sunnyside School Road,NC
Teresa C Berrien Elementary,Cumberland County Schools,159,Cumberland,Fayetteville,28301,1076,12.2,29.3,800 North Street,NC
Vanstory Hills Elementary,Cumberland County Schools,516,Cumberland,Fayetteville,28303,151,16.1,84.8,400 Foxhall Road,NC
Walker Spivey Elementary,Cumberland County Schools,358,Cumberland,Fayetteville,28301,888,14.3,41.6,500 Fisher Street,NC
Warrenwood Elementary,Cumberland County Schools,420,Cumberland,Fayetteville,28311,1020,12.3,33.2,4618 Rosehill Road,NC
Westarea Elementary,Cumberland County Schools,530,Cumberland,Fayetteville,28301,1016,13.9,33.4,941 Country Club Drive,NC
William H Owen Elementary,Cumberland County Schools,432,Cumberland,Fayetteville,28304,759,11,48.7,4533 Raeford Road,NC
William T Brown Elementary,Cumberland County Schools,490,Cumberland,Spring Lake,28390,1071,13.6,29.7,2522 Andrews Church Road,NC
